역코드(STN_CD),역명(STN_NM),역약어명(STN_AVVR_NM)
3901079,시흥능곡,시흥능
3901080,달미,달미
3901081,선부광장,선부광
3901081,선부,선부
3901082,신초지,신초지
3901083,안산스마트허브,안산SH
3901083,안산스마트,안산SH
3901083,원곡,원곡
3901083,시우,시우
3901084,마곡나루,마곡나루
3901085,청량신호B,청량B
3901086,청량신호C,청량C
3901087,영일만항,영일만
3901088,부산원동,부산원
3901089,고색,고색
3901090,오목천,오목천
3901091,어천,어천
3901092,야목,야목
3901093,사리,사리
3901094,망양,망양
3901095,구_용암,구_용암
3901096,구_울산신항,구_울산신
3901097,용암,용암
3901098,울산신항,울산신
3901099,남원주,남원주
3901099,신원주,신원주
3901099,원주,원주
3901100,운학,운학
3901101,망호,망호
3901102,신안동,신안동
3901102,안동,안동
3901103,서익산분기,서익분
3901103,목천신호소,목천신
3901104,신웅천,신웅천
3901104,웅천,웅천
3901105,신대야,신대야
3901105,대야,대야
3901106,군산옥산,군산옥
3901107,군산항,군산항
3901108,부발신호장,부발신
3901108,아미,아미
3901109,울산기지,울산기
3901110,탕정,탕정
3901111,신동연결,신동연
3901112,서대구,서대구
3901113,북울산,북울산
3901114,가남,가남
3901115,감곡장호원,감곡장
3901116,앙성온천,앙성온
3901117,금가신호장,금가신
3901117,금가,금가
3901118,별내별가람,별가람
3901119,오남,오남
3901120,진접,진접
3901121,물류사업본부,물류본부
3901122,부천종합운,부천종
3901123,원종,원종
3901124,합숙,합숙
3901125,신능곡,신능곡
3901126,신김포공항,신김포
3901127,신대곡,신대곡
3901128,성남,성남
3901129,수서분기,수서분
3901130,G수서,G수서
3901131,미력,미력
3901132,서화성남양,서화성
3901132,서화성,서화성
3901133,화성시청,화성시
3901134,향남,향남
3901135,안중,안중
3901136,인주,인주
3901137,합덕,합덕
3901138,살미,살미
3901139,수안보온천,수안온
3901140,연풍,연풍
3901141,문경,문경
