역코드(STN_CD),역명(STN_NM),역약어명(STN_AVVR_NM)
3900266,봉덕,봉덕
3900267,괴목,괴목
3900268,개운,개운
3900269,동운,동운
3900270,동순천,동순천
3900271,순천,순천
3900272,성산,성산
3900273,율촌,율촌
3900274,신풍,신풍
3900275,덕양,덕양
3900276,여천,여천
3900277,미평,미평
3900278,만성,만성
3900279,여수,여수
3900279,여수엑스포,엑스포
3900280,오송,오송
3900281,청주,청주
3900282,오근장,오근장
3900283,청주공항,청주공
3900284,내수,내수
3900285,증평,증평
3900286,도안,도안
3900287,보천,보천
3900288,음성,음성
3900289,소이,소이
3900290,주덕,주덕
3900291,달천,달천
3900292,충주,충주
3900293,목행,목행
3900294,동량,동량
3900295,삼탄,삼탄
3900296,공전,공전
3900297,구로경인분,구로인
3900297,구로경인분,구로경
3900298,구일,구일
3900299,개봉,개봉
3900300,오류동,오류동
3900301,온수,온수
3900302,역곡,역곡
3900303,소사,소사
3900304,부천,부천
3900305,중동,중동
3900306,송내,송내
3900307,부개,부개
3900308,부평,부평
3900309,백운,백운
3900310,동암,동암
3900311,간석,간석
3900312,주안,주안
3900313,도화,도화
3900314,제물포,제물포
3900315,도원,도원
3900316,동인천,동인천
3900317,인천,인천
3900318,봉명,봉명
3900319,쌍용동,쌍용동
3900319,쌍용나사렛,쌍용나
3900320,아산,아산
3900321,모산,모산
3900321,배방,배방
3900322,온양온천,온양온
3900323,신창,신창
3900323,신창순천향,신창순
3900324,도고온천,도고온
3900325,학성,학성
3900326,선장,선장
3900327,신례원,신례원
3900328,예산,예산
3900329,오가,오가
3900330,삽교,삽교
3900331,화양,화양
3900332,홍성,홍성
3900333,신성,신성
3900334,광천,광천
3900335,원죽,원죽
3900336,청소,청소
3900337,주포,주포
3900338,대천,대천
3900339,주교,주교
3900340,남포,남포
3900341,웅천,웅천
3900341,구웅천,구웅천
3900342,간치,간치
3900343,판교,판교
3900344,주산,주산
3900345,서천,서천
3900346,신장항,신장항
3900346,장항,장항
3900347,기동,기동
3900348,신군산,신군산
3900348,군산,군산
3900349,삼산,삼산
3900349,구삼산,구삼산
3900350,군산화분기,군산분
3900351,대야,대야
3900351,구대야,구대야
3900352,임피,임피
3900353,오산리,오산리
3900354,장항,장항
3900354,장항화물,장항화
3900355,신촌,신촌
3900356,가좌,가좌
3900357,디엠시,디엠시
3900357,디지털시티,디엠시
3900358,수색,수색
3900359,화전,화전
3900359,한국항공대,항공대
3900360,구강매,구강매
3900361,행신,행신
3900362,능곡,능곡
3900363,대곡,대곡
3900364,곡산,곡산
3900365,백마,백마
3900366,풍산,풍산
3900367,일산,일산
3900368,탄현,탄현
3900369,운정,운정
3900370,금릉,금릉
3900371,금촌,금촌
3900372,월롱,월롱
3900373,파주,파주
3900374,문산,문산
3900375,운천,운천
3900376,임진강,임진강
3900377,도라산,도라산
3900378,판문,판문
3900379,효창,효창
3900379,효창공원앞,효창공
3900380,서강,서강
3900380,서강대,서강대
3900381,용산경원분,용산원
3900381,용산경원분,용산경
3900382,이촌,이촌
3900383,서빙고,서빙고
3900384,한남,한남
3900385,옥수,옥수
3900386,응봉,응봉
3900387,왕십리,왕십리
3900388,청량리,청량리
3900389,회기,회기
3900390,외대앞,외대앞
3900391,신이문,신이문
3900392,석계,석계
3900393,성북,성북
3900393,광운대,광운대
3900394,월계,월계
3900395,녹천,녹천
3900396,창동,창동
3900397,방학,방학
3900398,도봉,도봉
3900399,도봉산,도봉산
3900400,망월사,망월사
3900401,회룡,회룡
3900402,의정부,의정부
3900403,의정북부,의정북
3900403,가능,가능
3900404,녹양,녹양
3900405,주내,주내
3900405,양주,양주
3900406,마전,마전
3900407,덕계,덕계
3900408,덕정,덕정
3900409,지행,지행
3900410,동두천,동두천
3900410,동두천중앙,동두중
3900411,보산,보산
3900412,동안,동안
3900412,동두천,동두천
3900413,소요산,소요산
3900414,초성리,초성리
3900414,청산,청산
3900415,한탄강,한탄강
3900416,전곡,전곡
3900417,연천,연천
3900418,신망리,신망리
3900419,대광리,대광리
3900420,신탄리,신탄리
3900421,신공덕,신공덕
3900422,화랑대,화랑대
3900423,퇴계원,퇴계원
3900424,사릉,사릉
3900425,금곡,금곡
3900426,평내,평내
3900426,평내호평,평내호
3900427,마석,마석
3900428,대성리,대성리
3900429,청평,청평
3900430,상천,상천
3900431,가평,가평
3900432,경강,경강
3900432,굴봉산,굴봉산
3900433,백양리,백양리
3900434,강촌,강촌
3900435,신남,신남
3900435,김유정,김유정
3900436,남춘천,남춘천
3900437,춘천,춘천
3900438,대정,대정
3900439,원릉,원릉
3900440,삼릉,삼릉
3900441,벽제,벽제
3900442,일영,일영
3900443,장흥,장흥
3900444,온릉,온릉
3900445,송추,송추
3900446,이문,이문
3900447,의왕,의왕
3900447,오봉,오봉
3900448,옥마,옥마
3900449,원두,원두
3900450,춘장대,춘장대
3900451,동백정,동백정
3900452,산본,산본
3900453,수리산역,수리산
3900453,수리산,수리산
3900454,대야미,대야미
3900455,반월,반월
3900456,상록수,상록수
3900457,한대앞,한대앞
3900458,중앙,중앙
3900459,고잔,고잔
3900460,공단,공단
3900460,초지,초지
3900461,안산,안산
3900462,신길온천,신길온
3900463,정왕,정왕
3900464,오이도,오이도
3900465,범계,범계
3900466,평촌동,평촌동
3900467,인덕원,인덕원
3900468,과천청사,과천청
3900469,과천,과천
3900470,대공원,대공원
3900471,경마공원,경마공
3900472,선바위,선바위
3900473,선릉,선릉
3900474,한티,한티
3900475,도곡,도곡
3900476,구룡역,구룡역
3900477,개포동,개포동
3900478,대모산입구,대모산
3900479,수서,수서
3900480,복정,복정
3900481,경원대,경원대
3900481,가천대,가천대
3900482,태평,태평
3900483,모란,모란
3900484,야탑,야탑
3900485,이매,이매
3900486,서현,서현
3900487,수내,수내
3900488,정자,정자
3900489,미금,미금
3900490,오리,오리
3900491,죽전,죽전
3900492,보정,보정
3900493,분당기지,분당기
3900494,지축,지축
3900495,삼송,삼송
3900496,원당,원당
3900497,화정,화정
3900498,3대곡,3대곡
3900499,백석,백석
3900500,마두,마두
3900501,정발산,정발산
3900502,주엽,주엽
3900503,대화,대화
3900504,지축기지,지축기
3900505,아천,아천
3900506,두원,두원
3900507,옥산,옥산
3900508,청리,청리
3900509,상주,상주
3900510,백원,백원
3900511,양정,양정
3900512,함창,함창
3900513,점촌,점촌
3900514,산양,산양
3900515,용궁,용궁
3900516,개포,개포
3900517,율현,율현
3900518,가동,가동
3900519,예천,예천
3900520,고평,고평
3900521,미산,미산
3900522,보문,보문
3900523,어등,어등
3900524,미룡,미룡
3900525,반구,반구
3900526,주평,주평
3900527,진남,진남
3900528,신현,신현
3900529,마성,마성
3900530,문경,문경
3900530,구_문경,구문경
3900531,개정,개정
3900532,군산,군산
3900532,군산화물,군산화
3900533,옥구,옥구
3900534,연무대,연무대
3900535,구랑리,구랑리
3900536,가은,가은
3900537,장성화물,장성화
3900538,극락강,극락강
3900539,광주,광주
3900540,대불,대불
3900541,북전주,북전주
3900542,부강화물,부강화
3900543,신동화물,신동화
3900544,흥국사,흥국사
3900545,적량,적량
3900546,초남,초남
3900547,황길,황길
3900548,태금,태금
3900549,광양항,광양항
3900550,북영주분기,북주분
3900550,북영주분기,북영주
3900551,문단,문단
3900552,봉화,봉화
